Date,Emotion,Background Color,Verse (EN)
2024-04-19,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-04-20,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-04-21,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-04-22,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-04-23,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-04-24,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-04-25,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-04-26,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-04-27,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-04-28,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-04-29,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-04-30,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-01,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-02,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-03,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-04,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-05,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-06,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-07,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-08,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-05-09,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-10,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-11,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-12,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-13,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-14,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-05-15,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-16,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-17,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-05-18,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-05-19,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-05-20,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-21,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-22,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-05-23,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-24,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-05-25,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-05-26,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-05-27,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-05-28,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-05-29,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-05-30,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-05-31,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-01,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-02,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-03,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-04,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-05,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-06,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-07,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-06-08,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-09,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-10,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-11,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-12,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-13,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-14,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-15,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-16,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-06-17,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-06-18,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-06-19,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-06-20,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-21,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-06-22,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-23,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-06-24,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-06-25,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-06-26,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-06-27,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-06-28,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-06-29,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-06-30,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-07-01,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-07-02,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-07-03,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-07-04,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-07-05,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-07-06,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-07-07,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-07-08,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-07-09,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-07-10,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-07-11,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-07-12,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-07-13,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-07-14,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-07-15,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-07-16,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-07-17,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-07-18,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-07-19,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-07-20,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-07-21,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-07-22,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-07-23,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-07-24,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-07-25,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-07-26,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-07-27,Loneliness,purple background,"Even though I walk through the valley of the shadow of death, I will fear no evil, for You are with me always."
2024-07-28,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-07-29,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-07-30,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-07-31,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-08-01,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-08-02,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-08-03,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-08-04,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-08-05,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-08-06,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-08-07,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-08-08,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-08-09,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-08-10,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-08-11,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-08-12,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-08-13,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
2024-08-14,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-08-15,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-08-16,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-08-17,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-08-18,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-08-19,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-08-20,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-08-21,Anger,red background,"Be angry and do not sin; do not let the sun go down on your anger, and give no opportunity to the devil."
2024-08-22,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-08-23,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-08-24,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-08-25,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-08-26,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-08-27,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-08-28,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-08-29,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-08-30,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-08-31,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-09-01,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-09-02,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-09-03,Sadness,gray background,The Lord is near to the brokenhearted and saves the crushed in spirit. He binds up every wound with His eternal love.
2024-09-04,Happiness,yellow background,You have made known to me the path of life; in Your presence there is fullness of joy and eternal pleasures.
2024-09-05,Anxiety,light blue background,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God."
2024-09-06,Gratitude,green background,Enter His gates with thanksgiving and His courts with praise; give thanks to Him and bless His name for His goodness.
2024-09-07,Loneliness,purple background,"I am with you always, even to the end of the age, says the Lord. You are never alone, not for a moment."
2024-09-08,Anger,red background,"A gentle answer turns away wrath, but a harsh word stirs up anger. Walk in peace and leave room for God’s justice."
2024-09-09,Sadness,gray background,"Weeping may endure for a night, but joy comes in the morning. God sees your tears and holds your sorrow in His hands."
2024-09-10,Happiness,yellow background,"This is the day the Lord has made; let us rejoice and be glad in it, for He fills us with joy."
2024-09-11,Anxiety,light blue background,"Cast all your anxieties on Him, because He cares for you and understands every fear hidden in your heart."
2024-09-12,Gratitude,green background,"Give thanks in all circumstances, for this is the will of God in Christ Jesus for you, through every trial and triumph."
